,product_name,product_link,ingredient_name
411,COOK by ASDA Sea Salt Grinder,https://groceries.asda.com/product/salt-pepper/cook-by-asda-sea-salt-grinder/910001652762,Salt
412,Saxa Table Salt,https://groceries.asda.com/product/salt-pepper/saxa-table-salt/1000000441464,Salt
413,Pringles Salt & Vinegar Sharing Crisps,https://groceries.asda.com/product/pringles-tube-snacks/pringles-salt-vinegar-sharing-crisps/1000383182363,Salt
414,Saxa Table Salt,https://groceries.asda.com/product/salt-pepper/saxa-table-salt/390458,Salt
415,Schwartz Pink Himalayan Salt,https://groceries.asda.com/product/salt-pepper/schwartz-pink-himalayan-salt/1000118273170,Salt
416,LoSalt Reduced Sodium Salt,https://groceries.asda.com/product/salt-pepper/lo-salt-reduced-sodium-salt/19319,Salt
417,Schwartz Adjustable Grinder Sea Salt,https://groceries.asda.com/product/salt-pepper/schwartz-adjustable-grinder-sea-salt/910001124889,Salt
418,Schwartz Adjustable Grinder Black Peppercorns,https://groceries.asda.com/product/salt-pepper/schwartz-adjustable-grinder-black-peppercorns/910001124268,Salt
419,COOK by ASDA Sea Salt,https://groceries.asda.com/product/salt-pepper/cook-by-asda-sea-salt/910001652240,Salt
420,Cornish Sea Salt Original,https://groceries.asda.com/product/salt-pepper/cornish-sea-salt-original/910000344273,Salt
421,ASDA Cooking Salt 3kg,https://groceries.asda.com/product/salt-pepper/asda-cooking-salt-3-kg/24414,Salt
422,Tidmans Natural Rock Salt,https://groceries.asda.com/product/salt-pepper/tidmans-natural-rock-salt/910001686879,Salt
423,Saxa Coarse Sea Salt,https://groceries.asda.com/product/salt-pepper/saxa-coarse-sea-salt/78418635,Salt
424,Saxa Fine Sea Salt,https://groceries.asda.com/product/salt-pepper/saxa-fine-sea-salt/1000000442953,Salt
425,Lurpak Slightly Salted Spreadable Blend of Butter and Rapeseed Oil,https://groceries.asda.com/product/spreadable-butter/lurpak-slightly-salted-spreadable-blend-of-butter-and-rapeseed-oil/910003245128,Salt
426,Bodrum Fine Himalayan Salt,https://groceries.asda.com/product/salt-pepper/bodrum-fine-himalayan-salt/1000211461179,Salt
427,ASDA British Salted Butter 250g,https://groceries.asda.com/product/block-butter/asda-british-salted-butter-250-g/910000418944,Salt
428,Saxa Ground Black Pepper,https://groceries.asda.com/product/salt-pepper/saxa-ground-black-pepper/1696955,Salt
429,Bodrum Himalayan Rose Pink Salt,https://groceries.asda.com/product/salt-pepper/bodrum-himalayan-rose-pink-salt/1000211461178,Salt
430,Nando's Peri-Peri Salt,https://groceries.asda.com/product/salt-pepper/nandos-peri-peri-salt/910001073206,Salt
431,Cornish Sea Salt Co Sea Salt Flakes,https://groceries.asda.com/product/salt-pepper/cornish-sea-salt-co-sea-salt-flakes/1000383142383,Salt
432,JUST ESSENTIALS by ASDA Roasted & Salted Cashew Nuts,https://groceries.asda.com/product/salted-roasted-flavoured-nuts/just-essentials-by-asda-roasted-salted-cashew-nuts/910000280367,Salt
433,COOK by ASDA Garlic Salt,https://groceries.asda.com/product/herbs/cook-by-asda-garlic-salt/414519,Salt
434,COOK by ASDA Whole Black Peppercorns,https://groceries.asda.com/product/salt-pepper/cook-by-asda-whole-black-peppercorns/23480,Salt
435,Schwartz Garlic Salt,https://groceries.asda.com/product/herbs/schwartz-garlic-salt/390012,Salt
436,COOK by ASDA Coarse Ground Black Pepper,https://groceries.asda.com/product/salt-pepper/cook-by-asda-coarse-ground-black-pepper/910002365242,Salt
437,Westlab Pure Mineral Bathing Epsom Salt,https://groceries.asda.com/product/bath-salts-bombs-scrubs/westlab-pure-mineral-bathing-epsom-salt/910002000797,Salt
438,Maldon Sea Salt Flakes 250g,https://groceries.asda.com/product/salt-pepper/maldon-sea-salt-flakes-250-g/1000383227288,Salt
